Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
642,Bot 09,B09,True,True,384.325,11,10,11,2,0,125.302,0.250,Stuck,2343,q_table_v6.json,False,45.060,TurnRightAndAccelerate,cp:11|dist:medium|angle:hardLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
643,Bot 07,B07,True,True,543.976,15,14,0,5,1,117.919,0.250,RaceComplete,2345,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
644,Bot 03,B03,True,True,393.462,11,10,11,2,0,107.379,0.250,Stuck,2351,q_table_v6.json,False,45.059,RecoveryTurn,cp:11|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
645,Bot 01,B01,True,True,314.087,9,8,9,7,1,110.450,0.250,Stuck,2353,q_table_v6.json,False,45.057,Coast,cp:9|dist:medium|angle:hardLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
646,Bot 10,B10,True,True,541.768,15,14,0,3,0,76.430,0.250,RaceComplete,2353,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
647,Bot 08,B08,True,True,540.496,15,14,0,1,0,111.031,0.250,RaceComplete,2353,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
648,Bot 04,B04,True,True,535.237,15,14,0,1,1,120.656,0.250,RaceComplete,2353,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:fast|progress:fresh|bomb:False|fsm:Recover
649,Bot 06,B06,True,True,239.495,7,6,7,2,1,81.244,0.250,Stuck,2353,q_table_v6.json,False,45.064,AccelerateForward,cp:7|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
650,Bot 09,B09,True,True,542.402,15,14,0,0,0,87.464,0.250,RaceComplete,2354,q_table_v6.json,False,0.000,Coast,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
651,Bot 05,B05,True,True,235.727,7,6,7,0,0,143.349,0.250,Stuck,2354,q_table_v6.json,False,45.013,RecoveryTurn,cp:7|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
