Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
135,75.012,2,1,0,0,26.138,0.511,Stuck,186,q_table_v4.json,False
136,33.852,1,0,0,0,22.986,0.508,Stuck,187,q_table_v4.json,False
137,104.016,3,2,0,0,32.696,0.506,Stuck,187,q_table_v4.json,False
138,97.945,3,2,3,1,37.339,0.503,Stuck,187,q_table_v4.json,False
139,68.472,2,1,0,0,28.632,0.501,Stuck,187,q_table_v4.json,False
140,71.802,2,1,0,0,27.798,0.498,Stuck,187,q_table_v4.json,False
141,68.456,2,1,0,0,26.279,0.496,Stuck,187,q_table_v4.json,False
142,65.221,2,1,0,0,25.417,0.493,Stuck,187,q_table_v4.json,False
143,69.838,2,1,0,0,26.058,0.491,Stuck,187,q_table_v4.json,False
144,71.226,2,1,0,0,27.883,0.488,Stuck,187,q_table_v4.json,False
145,69.446,2,1,0,0,28.544,0.486,Stuck,188,q_table_v4.json,False
146,78.904,2,1,0,0,28.296,0.483,Stuck,188,q_table_v4.json,False
147,65.869,2,1,0,0,27.137,0.481,Stuck,188,q_table_v4.json,False
148,68.399,2,1,0,0,28.129,0.479,Stuck,188,q_table_v4.json,False
149,69.841,2,1,0,0,25.642,0.476,Stuck,188,q_table_v4.json,False
150,72.648,2,1,0,0,28.217,0.474,Stuck,188,q_table_v4.json,False
151,64.267,2,1,0,0,30.452,0.471,Stuck,188,q_table_v4.json,False
152,67.143,2,1,0,0,27.056,0.469,Stuck,188,q_table_v4.json,False
153,66.340,2,1,0,0,25.723,0.467,Stuck,188,q_table_v4.json,False
154,69.245,2,1,0,0,25.393,0.464,Stuck,188,q_table_v4.json,False
155,63.172,2,1,0,0,26.637,0.462,Stuck,188,q_table_v4.json,False
156,70.571,2,1,0,0,25.307,0.460,Stuck,188,q_table_v4.json,False
157,106.199,3,2,6,0,34.022,0.458,Stuck,188,q_table_v4.json,False
158,111.624,3,2,5,0,30.125,0.455,Stuck,189,q_table_v4.json,False
159,70.132,2,1,0,0,25.226,0.453,Stuck,189,q_table_v4.json,False
160,69.566,2,1,0,0,27.136,0.451,Stuck,189,q_table_v4.json,False
161,72.178,2,1,0,0,26.803,0.448,Stuck,189,q_table_v4.json,False
162,109.230,3,2,5,0,30.539,0.446,Stuck,189,q_table_v4.json,False
163,105.627,3,2,0,0,30.371,0.444,Stuck,189,q_table_v4.json,False
164,69.571,2,1,0,0,28.294,0.442,Stuck,189,q_table_v4.json,False
165,103.040,3,2,0,0,28.631,0.440,Stuck,189,q_table_v4.json,False
166,76.691,2,1,0,0,27.634,0.437,Stuck,189,q_table_v4.json,False
167,70.703,2,1,0,0,25.226,0.435,Stuck,189,q_table_v4.json,False
168,74.507,2,1,0,0,29.456,0.433,Stuck,189,q_table_v4.json,False
169,67.068,2,1,0,0,26.390,0.431,Stuck,189,q_table_v4.json,False
170,320.804,9,8,7,1,75.184,0.429,Stuck,189,q_table_v4.json,False
171,244.973,7,6,2,2,59.748,0.427,Stuck,189,q_table_v4.json,False
172,98.990,3,2,0,0,32.776,0.424,Stuck,190,q_table_v4.json,False
173,67.831,2,1,0,0,25.309,0.422,Stuck,190,q_table_v4.json,False
174,74.378,2,1,0,0,29.955,0.420,Stuck,190,q_table_v4.json,False
175,68.751,2,1,0,0,26.474,0.418,Stuck,190,q_table_v4.json,False
176,69.493,2,1,0,0,25.395,0.416,Stuck,190,q_table_v4.json,False
177,72.271,2,1,0,0,30.035,0.414,Stuck,190,q_table_v4.json,False
178,65.959,2,1,0,0,26.388,0.412,Stuck,190,q_table_v4.json,False
179,74.721,2,1,0,0,27.135,0.410,Stuck,191,q_table_v4.json,False
180,67.789,2,1,0,0,28.797,0.408,Stuck,191,q_table_v4.json,False
181,71.320,2,1,0,0,26.803,0.406,Stuck,191,q_table_v4.json,False
182,66.275,2,1,0,0,27.883,0.404,Stuck,191,q_table_v4.json,False
183,71.100,2,1,0,0,34.103,0.402,Stuck,191,q_table_v4.json,False
184,72.431,2,1,0,0,26.473,0.400,Stuck,191,q_table_v4.json,False
185,66.459,2,1,0,0,25.309,0.398,Stuck,191,q_table_v4.json,False
186,68.104,2,1,0,0,25.311,0.396,Stuck,191,q_table_v4.json,False
187,70.531,2,1,0,0,25.309,0.394,Stuck,191,q_table_v4.json,False
188,65.602,2,1,0,0,26.056,0.392,Stuck,191,q_table_v4.json,False
189,146.558,4,3,3,0,35.187,0.390,Stuck,191,q_table_v4.json,False
190,67.109,2,1,0,0,26.385,0.388,Stuck,191,q_table_v4.json,False
191,66.791,2,1,0,0,25.394,0.386,Stuck,191,q_table_v4.json,False
192,220.755,6,5,11,0,48.793,0.384,Stuck,192,q_table_v4.json,False
193,67.999,2,1,0,0,25.310,0.382,Stuck,192,q_table_v4.json,False
194,68.349,2,1,0,0,25.310,0.380,Stuck,192,q_table_v4.json,False
195,70.648,2,1,0,0,25.306,0.378,Stuck,192,q_table_v4.json,False
196,62.808,2,1,0,0,25.313,0.376,Stuck,192,q_table_v4.json,False
197,67.039,2,1,0,0,26.303,0.374,Stuck,192,q_table_v4.json,False
198,67.611,2,1,0,0,25.977,0.373,Stuck,192,q_table_v4.json,False
199,70.161,2,1,0,0,25.309,0.371,Stuck,192,q_table_v4.json,False
200,62.652,2,1,0,0,25.309,0.369,Stuck,192,q_table_v4.json,False
201,69.488,2,1,0,0,28.464,0.367,Stuck,192,q_table_v4.json,False
202,100.785,3,2,0,0,31.613,0.365,Stuck,192,q_table_v4.json,False
203,66.856,2,1,0,0,25.310,0.363,Stuck,192,q_table_v4.json,False
204,100.251,3,2,0,1,34.436,0.361,Stuck,192,q_table_v4.json,False
205,71.147,2,1,0,0,26.141,0.360,Stuck,192,q_table_v4.json,False
206,67.386,2,1,0,0,26.722,0.358,Stuck,192,q_table_v4.json,False
207,70.630,2,1,0,0,26.302,0.356,Stuck,192,q_table_v4.json,False
208,68.537,2,1,0,0,26.056,0.354,Stuck,192,q_table_v4.json,False
209,66.979,2,1,0,0,25.312,0.353,Stuck,192,q_table_v4.json,False
210,68.077,2,1,0,0,25.809,0.351,Stuck,192,q_table_v4.json,False
211,173.331,5,4,4,0,38.005,0.349,Stuck,193,q_table_v4.json,False
212,71.453,2,1,0,0,25.309,0.347,Stuck,193,q_table_v4.json,False
213,71.139,2,1,0,0,25.392,0.346,Stuck,193,q_table_v4.json,False
214,142.148,4,3,5,0,35.433,0.344,Stuck,194,q_table_v4.json,False
215,67.981,2,1,0,0,26.058,0.342,Stuck,194,q_table_v4.json,False
216,61.846,2,1,0,0,25.309,0.340,Stuck,194,q_table_v4.json,False
217,72.779,2,1,0,0,27.717,0.339,Stuck,194,q_table_v4.json,False
218,67.198,2,1,0,0,25.307,0.337,Stuck,194,q_table_v4.json,False
219,76.379,2,1,0,0,25.310,0.335,Stuck,194,q_table_v4.json,False
220,145.734,4,3,0,0,36.430,0.334,Stuck,194,q_table_v4.json,False
221,103.825,3,2,0,0,30.703,0.332,Stuck,194,q_table_v4.json,False
222,104.684,3,2,6,0,32.863,0.330,Stuck,194,q_table_v4.json,False
223,71.005,2,1,0,0,26.303,0.329,Stuck,194,q_table_v4.json,False
224,72.775,2,1,0,0,29.142,0.327,Stuck,194,q_table_v4.json,False
225,64.318,2,1,0,0,25.629,0.325,Stuck,194,q_table_v4.json,False
226,67.795,2,1,0,0,25.972,0.324,Stuck,194,q_table_v4.json,False
227,65.590,2,1,0,0,26.970,0.322,Stuck,194,q_table_v4.json,False
228,67.345,2,1,0,0,25.226,0.321,Stuck,194,q_table_v4.json,False
229,67.328,2,1,0,0,25.391,0.319,Stuck,194,q_table_v4.json,False
230,66.358,2,1,0,0,25.226,0.317,Stuck,194,q_table_v4.json,False
231,143.705,4,3,0,0,34.854,0.316,Stuck,194,q_table_v4.json,False
232,67.612,2,1,0,0,25.806,0.314,Stuck,194,q_table_v4.json,False
233,65.550,2,1,0,0,29.294,0.313,Stuck,194,q_table_v4.json,False
234,101.240,3,2,3,1,35.269,0.311,Stuck,194,q_table_v4.json,False
235,254.825,7,6,1,0,63.068,0.309,Stuck,194,q_table_v4.json,False
236,132.493,4,3,2,1,51.201,0.308,Stuck,195,q_table_v4.json,False
237,66.984,2,1,0,0,25.306,0.306,Stuck,195,q_table_v4.json,False
238,150.748,4,3,0,0,37.258,0.305,Stuck,195,q_table_v4.json,False
239,67.197,2,1,0,0,30.634,0.303,Stuck,195,q_table_v4.json,False
240,172.352,5,4,5,1,48.449,0.302,Stuck,195,q_table_v4.json,False
241,67.000,2,1,0,0,26.304,0.300,Stuck,195,q_table_v4.json,False
242,259.553,7,6,1,0,43.813,0.299,Stuck,195,q_table_v4.json,False
243,148.622,4,3,4,0,42.157,0.297,Stuck,195,q_table_v4.json,False
244,69.111,2,1,0,0,25.722,0.296,Stuck,195,q_table_v4.json,False
245,66.615,2,1,0,0,25.229,0.294,Stuck,195,q_table_v4.json,False
246,223.031,6,5,3,0,43.895,0.293,Stuck,195,q_table_v4.json,False
247,67.551,2,1,0,0,25.230,0.291,Stuck,195,q_table_v4.json,False
248,77.972,2,1,0,0,25.307,0.290,Stuck,195,q_table_v4.json,False
249,143.485,4,3,5,0,36.926,0.288,Stuck,195,q_table_v4.json,False
250,66.719,2,1,0,0,25.313,0.287,Stuck,195,q_table_v4.json,False
251,68.246,2,1,0,0,26.637,0.286,Stuck,196,q_table_v4.json,False
252,65.433,2,1,0,0,26.636,0.284,Stuck,196,q_table_v4.json,False
253,67.462,2,1,0,0,25.227,0.283,Stuck,196,q_table_v4.json,False
254,100.582,3,2,0,0,33.192,0.281,Stuck,196,q_table_v4.json,False
255,68.616,2,1,0,0,26.805,0.280,Stuck,196,q_table_v4.json,False
256,70.163,2,1,0,0,27.301,0.279,Stuck,196,q_table_v4.json,False
257,70.336,2,1,0,0,25.307,0.277,Stuck,196,q_table_v4.json,False
258,68.351,2,1,0,0,25.308,0.276,Stuck,196,q_table_v4.json,False
259,71.225,2,1,1,0,25.310,0.274,Stuck,196,q_table_v4.json,False
260,69.152,2,1,0,0,29.378,0.273,Stuck,196,q_table_v4.json,False
261,68.476,2,1,0,0,25.806,0.272,Stuck,196,q_table_v4.json,False
262,68.601,2,1,0,0,25.810,0.270,Stuck,196,q_table_v4.json,False
263,73.073,2,1,0,0,25.309,0.269,Stuck,196,q_table_v4.json,False
264,73.252,2,1,0,0,25.308,0.268,Stuck,196,q_table_v4.json,False
265,69.033,2,1,0,0,25.311,0.266,Stuck,196,q_table_v4.json,False
266,69.245,2,1,0,0,26.386,0.265,Stuck,196,q_table_v4.json,False
267,108.169,3,2,0,0,28.633,0.264,Stuck,196,q_table_v4.json,False
268,68.462,2,1,0,0,25.724,0.262,Stuck,196,q_table_v4.json,False
269,69.851,2,1,0,0,26.555,0.261,Stuck,196,q_table_v4.json,False
