Episode,TotalReward,CheckpointsReached,CoinsCollected,BombsHit,Duration,Epsilon
230,42.361,2,0,0,60.022,0.1
231,68.427,2,0,0,60.021,0.1
232,66.626,2,0,0,60.033,0.1
233,56.73,2,0,0,60.005,0.1
234,78.355,2,0,0,60.021,0.1
235,69.149,4,1,1,60.028,0.1
236,45.135,2,0,0,60.02,0.1
237,76.185,5,1,4,60.046,0.1
238,107.823,6,3,0,60.156,0.1
239,81.965,2,0,0,60.03,0.1
240,66.383,2,0,0,60.01,0.1
241,76.604,5,3,1,60.019,0.1
242,45.21,2,0,0,60.024,0.1
243,63.604,3,0,0,60.021,0.1
244,46.834,2,0,0,60.023,0.1
245,55.125,2,0,0,60.015,0.1
246,48.382,2,0,0,60.023,0.1
247,43.047,2,0,0,60.022,0.1
248,36.676,2,1,0,60.019,0.1
249,87.011,3,0,0,60.025,0.1
250,95.503,3,0,0,60.022,0.1
251,58,2,0,0,60.02,0.1
252,44.253,2,0,0,60.025,0.1
253,66.628,4,2,0,60.023,0.1
254,54.782,4,0,0,60.011,0.1
255,25.275,2,0,0,60.025,0.1
256,38.928,1,0,0,60.022,0.1
257,74.632,4,1,0,60.013,0.1
258,71.254,4,0,0,60.027,0.1
259,86.006,3,0,0,60.013,0.1
260,58.045,3,0,0,60.022,0.1
261,105.615,4,2,0,60.021,0.1
262,67.435,4,0,0,60.024,0.1
263,90.559,5,0,0,60.026,0.1
264,51.704,2,0,0,60.013,0.1
265,64.236,4,0,0,60.021,0.1
266,92.241,3,0,0,60.02,0.1
267,81.107,5,2,0,60.024,0.1
268,22.713,2,0,0,60.024,0.1
269,62.546,2,0,0,60.013,0.1
270,57.388,2,0,0,60.021,0.1
271,77.117,3,0,0,60.031,0.1
272,100.613,3,0,0,60.016,0.1
273,87.156,3,0,0,60.018,0.1
274,114.637,5,1,0,60.023,0.1
275,86.836,2,0,0,60.015,0.1
276,64.39,2,0,0,60.023,0.1
277,54.792,2,0,0,60.032,0.1
278,136.392,7,0,0,60.011,0.1
279,108.239,3,0,0,60.016,0.1
280,81.105,3,0,0,60.03,0.1
281,33.395,2,0,0,60.001,0.1
282,20.764,2,0,0,60.03,0.1
283,33.274,2,0,0,60.028,0.1
284,18.589,2,0,0,60.026,0.1
285,51.33,3,4,0,60.029,0.1
286,62.841,2,0,0,60.025,0.1
287,35.37,2,0,0,60.03,0.1
288,56.796,3,4,0,60.027,0.1
289,55.276,2,0,0,60.028,0.1
290,51.566,2,0,0,60.029,0.1
291,73.629,2,0,0,60.027,0.1
292,49.414,2,0,0,60.029,0.1
293,64.956,2,0,0,60.027,0.1
294,88.773,2,0,0,60.029,0.1
295,54.859,4,0,0,60.027,0.1
296,63.669,2,0,0,60.028,0.1
297,60.81,2,2,0,60.028,0.1
298,55.131,2,0,0,60.028,0.1
299,136.408,7,10,1,60.029,0.1
300,91.517,2,0,0,60.027,0.1
301,66.363,2,0,0,60.029,0.1
302,25.569,2,0,0,60.027,0.1
303,41.651,2,0,0,60.031,0.1
304,37.881,2,0,0,60.026,0.1
305,43.682,2,0,0,60.028,0.1
306,83.06,2,0,0,60.029,0.1
307,52.557,2,0,0,60.03,0.1
308,63.246,3,0,0,60.025,0.1
309,38.502,2,0,0,60.028,0.1
310,31.678,2,0,0,60.03,0.1
311,38.268,2,0,0,60.027,0.1
312,43.562,2,0,0,60.029,0.1
313,64.442,2,0,0,60.026,0.1
314,34.507,3,0,0,33.2,0.8
315,28.344,2,0,0,26.046,0.784
316,98.249,5,9,3,74.186,0.768
317,81.985,5,3,1,62.568,0.753
318,123.254,6,8,0,55.182,0.738
319,58.637,3,6,0,38.254,0.723
320,88.333,5,4,0,56.595,0.709
321,30.98,2,3,0,26.97,0.695
322,29.131,2,0,0,25.393,0.681
323,24.432,2,0,0,27.217,0.667
324,69.032,4,6,1,42.071,0.654
325,27.879,2,0,0,32.03,0.641
326,29.019,2,0,0,26.639,0.628
327,29.672,2,0,0,29.293,0.615
328,103.309,6,2,0,47.301,0.603
329,28.873,2,0,0,27.562,0.591
330,28.418,2,0,0,28.612,0.579
331,107.966,6,6,1,47.718,0.567
332,249.282,14,6,0,90.033,0.556
333,109.198,6,4,0,54.517,0.545
334,95.902,5,6,1,51.699,0.534
335,29.33,2,0,0,26.477,0.523
336,36.855,2,0,0,29.291,0.513
337,29.821,2,0,0,28.46,0.503
338,30.805,2,0,0,26.473,0.493
339,28.987,2,0,0,28.38,0.483
340,28,2,0,0,28.96,0.473
341,27.393,2,0,0,26.226,0.464
342,29.127,2,1,0,25.308,0.454
343,26.754,2,0,0,25.308,0.445
344,29.239,2,0,0,27.134,0.436
345,27.966,2,0,0,27.387,0.428
346,28.681,2,0,0,26.803,0.419
347,22.71,2,0,0,25.308,0.411
348,27.904,2,0,0,25.308,0.403
349,63.715,4,0,0,35.267,0.394
350,28.495,2,0,0,25.808,0.387
351,25.972,2,0,0,27.466,0.379
352,33.627,2,0,0,25.23,0.371
353,24.867,2,0,0,26.633,0.364
354,25.566,2,0,0,25.808,0.357
355,29.011,2,0,0,28.631,0.349
356,23.964,2,0,0,25.228,0.342
357,27.579,2,0,0,25.307,0.336
358,145.208,9,3,0,62.158,0.329
359,30.279,2,0,0,26.238,0.322
360,29.663,2,0,0,27.637,0.303
361,121.024,6,7,0,47.545,0.297
362,61.066,4,0,0,36.761,0.291
363,89.668,5,3,0,43.571,0.286
364,29.274,2,0,0,25.305,0.28
365,30.152,2,0,0,25.31,0.274
366,27.433,2,0,0,25.311,0.269
367,34.225,2,0,0,25.307,0.263
368,30.195,2,0,0,25.724,0.258
369,28.092,2,0,0,25.147,0.253
