Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
79,Bot 05,B05,TRUE,FALSE,312.166,9,8,9,1,2,92.859,0.1,Stuck,2541,q_table_v7_best.json,FALSE,45.06,TurnRightAndAccelerate,cp:9|dist:far|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
80,Bot 01,B01,TRUE,FALSE,538.858,15,14,15,2,1,96.841,0.1,RaceComplete,2543,q_table_v7_best.json,FALSE,8.633,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
81,Bot 08,B08,TRUE,FALSE,217.606,6,5,6,3,1,81.819,0.1,Stuck,2545,q_table_v7_best.json,FALSE,45.058,Coast,cp:6|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Recover
82,Bot 06,B06,TRUE,FALSE,544.476,15,14,15,5,0,157.496,0.1,RaceComplete,2546,q_table_v7_best.json,FALSE,9.707,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
83,Bot 02,B02,TRUE,FALSE,134.404,3,2,3,0,0,56.841,0.1,Stuck,2546,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:3|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
84,Bot 07,B07,TRUE,FALSE,546.476,15,14,15,2,0,121.32,0.1,RaceComplete,2555,q_table_v7_best.json,FALSE,7.967,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
85,Bot 10,B10,TRUE,FALSE,424.492,12,11,12,2,0,99.328,0.1,Stuck,2555,q_table_v7_best.json,FALSE,45.06,RecoveryTurn,cp:12|dist:medium|angle:right|speed:slow|progress:danger|bomb:False|fsm:Recover
86,Bot 04,B04,TRUE,FALSE,228.437,6,5,6,1,1,74.186,0.1,Stuck,2556,q_table_v7_best.json,FALSE,45.058,Brake,cp:6|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
87,Bot 03,B03,TRUE,FALSE,553.196,15,14,15,4,0,159.737,0.1,RaceComplete,2557,q_table_v7_best.json,FALSE,6.053,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
88,Bot 01,B01,TRUE,FALSE,100.478,3,2,3,0,0,56.67,0.1,Stuck,2557,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:3|dist:far|angle:right|speed:cruise|progress:danger|bomb:False|fsm:Recover
89,Bot 06,B06,TRUE,FALSE,106.849,3,2,3,0,0,56.427,0.1,Stuck,2557,q_table_v7_best.json,FALSE,45.057,AccelerateForward,cp:3|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
90,Bot 09,B09,TRUE,FALSE,544.707,15,14,15,2,0,95.18,0.1,RaceComplete,2557,q_table_v7_best.json,FALSE,7.056,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
91,Bot 02,B02,TRUE,FALSE,91.405,3,2,3,3,0,60.083,0.1,Stuck,2558,q_table_v7_best.json,FALSE,45.061,TurnRightAndAccelerate,cp:3|dist:far|angle:left|speed:slow|progress:danger|bomb:False|fsm:Recover
92,Bot 08,B08,TRUE,FALSE,547.44,15,14,15,1,1,77.174,0.1,RaceComplete,2560,q_table_v7_best.json,FALSE,7.131,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
