Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
552,Bot 09,B09,True,True,538.156,15,14,15,0,0,67.464,0.097,RaceComplete,2491,q_table_v7.json,False,6.171,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
553,Bot 07,B07,True,True,396.693,11,10,11,1,0,101.544,0.097,Stuck,2501,q_table_v7.json,False,45.017,TurnLeftAndAccelerate,cp:11|dist:medium|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
554,Bot 02,B02,True,True,419.503,12,11,12,8,0,100.809,0.096,Stuck,2501,q_table_v7.json,False,45.125,AccelerateForward,cp:12|dist:close|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Racing
555,Bot 04,B04,True,True,395.718,11,10,11,1,0,106.459,0.096,Stuck,2509,q_table_v7.json,False,45.033,AccelerateForward,cp:11|dist:medium|angle:left|speed:fast|progress:danger|bomb:False|fsm:Recover
556,Bot 10,B10,True,True,277.671,8,7,8,0,2,79.804,0.095,Stuck,2518,q_table_v7.json,False,45.022,AccelerateForward,cp:8|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Recover
557,Bot 03,B03,True,True,324.239,9,8,9,2,0,82.187,0.095,Stuck,2522,q_table_v7.json,False,45.016,TurnRightAndAccelerate,cp:9|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
558,Bot 01,B01,True,True,303.159,8,7,8,1,0,114.005,0.094,Stuck,2522,q_table_v7.json,False,45.026,Brake,cp:8|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
559,Bot 05,B05,True,True,212.776,6,5,6,0,0,67.462,0.094,Stuck,2531,q_table_v7.json,False,45.020,TurnRightAndAccelerate,cp:6|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
560,Bot 09,B09,True,True,213.665,6,5,6,1,0,69.991,0.093,Stuck,2534,q_table_v7.json,False,45.019,AccelerateForward,cp:6|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
561,Bot 08,B08,True,True,416.934,11,10,11,0,0,138.713,0.093,Stuck,2534,q_table_v7.json,False,45.022,Coast,cp:11|dist:medium|angle:hardRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
